Author,Year,Title,Publication,DOI,Authors,Published-print,Volume,Page
Minh Hai Pham,2020,Mangrove forest classification and aboveground biomass estimation using an atom search algorithm and adaptive neuro-fuzzy inference system,PLoS One,10.1371/journal.pone.0233110,"Pham, Minh Hai; Do, Thi Hoai; Pham, Van-Manh; Bui, Quang-Thanh",,15,15
Kankam,2021,Testing the Contribution of Multi-Source Remote Sensing Features for Random Forest Classification of the Greater Amanzule Tropical Peatland,Sensors,10.3390/s21103399,"Amoakoh, Alex O.; Aplin, Paul; Awuah, Kwame T.; Delgado-Fernandez, Irene; Moses, Cherith; Alonso, Carolina Peña; Kankam, Stephen; Mensah, Justice C.",,21,21
Ferrara,2019,Sustainable International Relations,Pope Francis' Encyclical Laudato Si' and the Planetary Implications of Integral Ecology Religions,10.1057/9781137273543,,2014,,
Dehghani,2020,Spatial Analysis of Seasonal Precipitation over Iran: Co-Variation with Climate Indices,ISPRS Int Geo-Inf,10.3390/ijgi9020073,"Dehghani, Majid; Salehi, Somayeh; Mosavi, Amir; Nabipour, Narjes; Shamshirband, Shahaboddin; Ghamisi, Pedram",,9,9
Salehi,2020,Spatial Analysis of Seasonal Precipitation over Iran: Co-Variation with Climate Indices,ISPRS Int Geo-Inf,10.3390/ijgi9020073,"Dehghani, Majid; Salehi, Somayeh; Mosavi, Amir; Nabipour, Narjes; Shamshirband, Shahaboddin; Ghamisi, Pedram",,9,9
Hoffmann,2020,"Maximum Fraction Images Derived from Year-Based Project for On-Board Autonomy-Vegetation (PROBA-V) Data for the Rapid Assessment of Land Use and Land Cover Areas in Mato Grosso State, Brazil",Land,10.3390/land9050139,"Godinho Cassol, Henrique Luis; Arai, Egidio; Eyji Sano, Edson; Dutra, Andeise Cerqueira; Hoffmann, Tânia Beatriz; Shimabukuro, Yosio Edemir",,9,9
Ianiri,2021,Halogenated Volatile Organic Compounds in Water Samples and Inorganic Elements Levels in Ores for Characterizing a High Anthropogenic Polluted Area in the Northern Latium Region (Italy),Int J Environ Res Public Health,10.3390/ijerph18041628,"Russo, Mario Vincenzo; Notardonato, Ivan; Rosada, Alberto; Ianiri, Giuseppe; Avino, Pasquale",,18,18
Liu,2021,Modeling the Relationship of >= 2 MeV Electron Fluxes at Different Longitudes in Geostationary Orbit by the Machine Learning Method,Remote Sens,10.3390/rs13173347,"Sun, Xiaojing; Lin, Ruilin; Liu, Siqing; He, Xinran; Shi, Liqin; Luo, Bingxian; Zhong, Qiuzhen; Gong, Jiancun",,13,13
Shi,2021,Modeling the Relationship of >= 2 MeV Electron Fluxes at Different Longitudes in Geostationary Orbit by the Machine Learning Method,Remote Sens,10.3390/rs13173347,"Sun, Xiaojing; Lin, Ruilin; Liu, Siqing; He, Xinran; Shi, Liqin; Luo, Bingxian; Zhong, Qiuzhen; Gong, Jiancun",,13,13
Qi,2020,Classification Strategies for Unbalanced Binary Maps: Finding Ponderosa Pine (Pinus ponderosa) in the Willamette Valley,Remote Sens,10.3390/rs12203325,"Riddell, Audrey P.; Fitzgerald, Stephen A.; Qi, Chu; Strimbu, Bogdan M.",,12,12
Bonavita,2021,Machine Learning for Earth System Observation and Prediction,Bull Amer Meteorol Soc,10.1175/bams-d-20-0307.1,"Bonavita, Massimo; Arcucci, Rossella; Carrassi, Alberto; Dueben, Peter; Geer, Alan J.; Le Saux, Bertrand; Longépé, Nicolas; Mathieu, Pierre-Philippe; Raynaud, Laure",2021,102,102
Antoniou,2020,"Fusing Earth Observation, Volunteered Geographic Information and Artificial Intelligence for improved Land Management",GeoMedia,10.1007/978-3-319-70878-2,,2018,,
Dowling,2021,ExtremeEarth Meets Satellite Data From Space,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2021.3107982,"Hagos, Desta Haileselassie; Kakantousis, Theofilos; Vlassov, Vladimir; Sheikholeslami, Sina; Wang, Tianze; Dowling, Jim; Paris, Claudia; Marinelli, Daniele; Weikmann, Giulio; Bruzzone, Lorenzo; Khaleghian, Salman; Kraemer, Thomas; Eltoft, Torbjorn; Marinoni, Andrea; Pantazi, Despina-Athanasia; Stamoulis, George; Bilidas, Dimitris; Papadakis, George; Mandilaras, George; Koubarakis, Manolis; Troumpoukis, Antonis; Konstantopoulos, Stasinos; Muerth, Markus; Appel, Florian; Fleming, Andrew; Cziferszky, Andreas",2021,14,14
Pantazi,2021,ExtremeEarth Meets Satellite Data From Space,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2021.3107982,"Hagos, Desta Haileselassie; Kakantousis, Theofilos; Vlassov, Vladimir; Sheikholeslami, Sina; Wang, Tianze; Dowling, Jim; Paris, Claudia; Marinelli, Daniele; Weikmann, Giulio; Bruzzone, Lorenzo; Khaleghian, Salman; Kraemer, Thomas; Eltoft, Torbjorn; Marinoni, Andrea; Pantazi, Despina-Athanasia; Stamoulis, George; Bilidas, Dimitris; Papadakis, George; Mandilaras, George; Koubarakis, Manolis; Troumpoukis, Antonis; Konstantopoulos, Stasinos; Muerth, Markus; Appel, Florian; Fleming, Andrew; Cziferszky, Andreas",2021,14,14
Al Khalifah,2020,Permeability prediction and diagenesis in tight carbonates using machine learning techniques,Mar Pet Geol,10.1016/j.marpetgeo.2019.104096,"Al Khalifah, H.; Glover, P.W.J.; Lorinczi, P.",2020,112,112
Davis,2019,A Heterogeneous and Interactive Big Earth Data Framework,BDE 2019: 2019 INTERNATIONAL CONFERENCE ON BIG DATA ENGINEERING,10.1145/3341620.3341628,"Bi, Haixia; Xue, Yong; Merritt, Patrick; Windmill, Chris; Davis, Bradley",2019,,
Caputo,2018,The Power of Visualization in Learning Geoscience,Understanding Climate Change Seeking and Comparing Images Rend Online Soc Geol Ital,10.3301/rol.2018.38,"Caputo, Gaetano; Cicconi, Alessia; Giunta, Paola",,45,45
Ozturk,2019,Interplanetary Transfers via Deep Representations of the Optimal Policy and/or of the Value Function,PROCEEDINGS OF THE 2019 GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE COMPANION (GECCCO'19 COMPANION),10.1145/3319619.3326834,"Izzo, Dario; Öztürk, Ekin; Märtens, Marcus",2019,,
Torres,2019,The possibility and risks of artificial general intelligence,Bull Atom Scient,10.1080/00963402.2019.1604873,"Torres, Phil",2019,75,75
Zurbaran,2019,A MACHINE LEARNING PIPELINE ARTICULATING SATELLITE IMAGERY AND OPENSTREETMAP FOR ROAD DETECTION,FOSS4G 2019 - ACADEMIC TRACK,10.5194/isprs-archives-xlii-4-w14-255-2019,"Zurbaran, M. A.; Wightman, P.; Brovelli, M. A.",,XLII-4/W14,XLII-4/W14
Chan,2020,Parametrization of Stochastic Inputs Using Generative Adversarial Networks With Application in Geology,Front Water,10.3389/frwa.2020.00005,"Chan, Shing; Elsheikh, Ahmed H.",,2,2
Lamprecht,2020,Modelling the Refractive Index Structure Parameter: A ResNet Approach,2020 INTERNATIONAL CONFERENCE ON BROADBAND COMMUNICATIONS FOR NEXT GENERATION NETWORKS AND MULTIMEDIA APPLICATIONS (COBCOM),10.1109/cobcom49975.2020.9174186,"Lamprecht, Christopher; Bekhrad, Pasha; Ivanov, Hristo; Leitgeb, Erich",2020,,
Nonnenmacher,2021,"Deep Emulators for Differentiation, Forecasting, and Parametrization in Earth Science Simulators",J Adv Model Earth Syst,10.1029/2021ms002554,"Nonnenmacher, Marcel; Greenberg, David S.",2021,13,13
Bischke,2019,EuroSAT: A Novel Dataset and Deep Learning Benchmark for Land Use and Land Cover Classification,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2019.2918242,"Helber, Patrick; Bischke, Benjamin; Dengel, Andreas; Borth, Damian",2019,12,12
Strnad,2019,Deep reinforcement learning in World-Earth system models to discover sustainable management strategies,Chaos,10.1063/1.5124673,"Strnad, Felix M.; Barfuss, Wolfram; Donges, Jonathan F.; Heitzig, Jobst",2019,29,29
Boulton,2018,The challenges of a Big Data Earth,Big Earth Data,10.1080/20964471.2017.1397411,"Boulton, Geoffrey",2018,2,2
Svendsen,2020,Deep Gaussian processes for biogeophysical parameter retrieval and model inversion,ISPRS-J Photogramm Remote Sens,10.1016/j.isprsjprs.2020.04.014,"Svendsen, Daniel Heestermans; Morales-Álvarez, Pablo; Ruescas, Ana Belen; Molina, Rafael; Camps-Valls, Gustau",2020,166,166
Carrero-Pazos,2021,Hybrid MSRM-Based Deep Learning and Multitemporal Sentinel 2-Based Machine Learning Algorithm Detects Near 10k Archaeological Tumuli in North-Western Iberia,Remote Sens,10.3390/rs13204181,"Berganzo-Besga, Iban; Orengo, Hector A.; Lumbreras, Felipe; Carrero-Pazos, Miguel; Fonte, João; Vilas-Estévez, Benito",,13,13
Kristoffersen,2021,An Automatic Well Planner for Complex Well Trajectories,Math Geosci,10.1007/s11004-021-09953-x,"Kristoffersen, Brage S.; Bellout, Mathias C.; Silva, Thiago L.; Berg, Carl F.",2021,53,53
Ronzio,2022,Machine Learning techniques for solar irradiation nowcasting: Cloud type classification forecast through satellite data and imagery,Appl Energy,10.1016/j.apenergy.2021.117834,"Nespoli, Alfredo; Niccolai, Alessandro; Ogliari, Emanuele; Perego, Giovanni; Collino, Elena; Ronzio, Dario",2022,305,305
Dramsch,2020,70 years of machine learning in geoscience in review,Adv Geophys,10.1016/bs.agph.2020.08.002,"Dramsch, Jesper Sören",2020,,
Felsche,2021,Applying machine learning for drought prediction in a perfect model framework using data from a large ensemble of climate simulations,Nat Hazards Earth Syst Sci,10.5194/nhess-21-3679-2021,"Felsche, Elizaveta; Ludwig, Ralf",,21,21
Hefele,2020,Identifying Earth-impacting asteroids using an artificial neural network,Astron Astrophys,10.1051/0004-6361/201935983,"Hefele, John D.; Bortolussi, Francesco; Zwart, Simon Portegies",2020,634,634
Campa,2019,Why space colonization will be fully automated,Technol Forecast Soc Chang,10.1016/j.techfore.2019.03.021,"Campa, Riccardo; Szocik, Konrad; Braddock, Martin",2019,143,143
Phelan,2020,Detection of ringforts from aerial photography using machine learning,2020 31ST IRISH SIGNALS AND SYSTEMS CONFERENCE (ISSC),10.1109/issc49989.2020.9180159,"Phelan, Keith; Riordan, Daniel",2020,,
Balestra,IONS,"A Machine Learning Approach for Mapping Forest Categories: An Application of Google Earth Engine for the Case Study of Monte Sant'Angelo, Central Italy",COMPUTATIONAL SCIENCE AND ITS APPLICA,10.1007/978-3-030-87007-2_12,"Balestra, Mattia; Chiappini, Stefano; Malinverni, Eva Savina; Galli, Andrea; Marcheggiani, Ernesto",2021,,
Chiappini,IONS,"A Machine Learning Approach for Mapping Forest Categories: An Application of Google Earth Engine for the Case Study of Monte Sant'Angelo, Central Italy",COMPUTATIONAL SCIENCE AND ITS APPLICA,10.1007/978-3-030-87007-2_12,"Balestra, Mattia; Chiappini, Stefano; Malinverni, Eva Savina; Galli, Andrea; Marcheggiani, Ernesto",2021,,
Weigand,2019,Modelling the impact of the urban spatial structure on the choice of residential location using 'big earth data' and machine learning,2019 JOINT URBAN REMOTE SENSING EVENT (JURSE),10.1109/jurse.2019.8808942,"Wurm, Michael; Weigand, Matthias; Stark, Thomas; Goebel, Jan; Wagner, Gert G.; Taubenbock, Hannes",2019,,
Goebel,2019,Modelling the impact of the urban spatial structure on the choice of residential location using 'big earth data' and machine learning,2019 JOINT URBAN REMOTE SENSING EVENT (JURSE),10.1109/jurse.2019.8808942,"Wurm, Michael; Weigand, Matthias; Stark, Thomas; Goebel, Jan; Wagner, Gert G.; Taubenbock, Hannes",2019,,
Jentzsch,2021,A qualitative study of Machine Learning practices and engineering challenges in Earth Observation,IT-Inf Technol,10.1515/itit-2020-0045,"Jentzsch, Sophie; Hochgeschwender, Nico",2021,63,63
Tsanaktsidis,2020,A cloud based smart recycling bin for waste classification,2020 9TH INTERNATIONAL CONFERENCE ON MODERN CIRCUITS AND SYSTEMS TECHNOLOGIES (MOCAST),10.1109/mocast49295.2020.9200283,"Baras, Nikolaos; Ziouzios, Dimitris; Dasygenis, Minas; Tsanaktsidis, Constantinos",2020,,
Bereta,2018,From Big Data to Big Information and Big Knowledge: the Case of Earth Observation Data,CIKM'18: PROCEEDINGS OF THE 27TH ACM INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT,10.1145/3269206.3274270,"Bereta, Konstantina; Koubarakis, Manolis; Manegold, Stefan; Stamoulis, George; Demir, Begüm",2018,,
Manegold,2018,From Big Data to Big Information and Big Knowledge: the Case of Earth Observation Data,CIKM'18: PROCEEDINGS OF THE 27TH ACM INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT,10.1145/3269206.3274270,"Bereta, Konstantina; Koubarakis, Manolis; Manegold, Stefan; Stamoulis, George; Demir, Begüm",2018,,
Kopperud,2019,Text-mined fossil biodiversity dynamics using machine learning,Proc R Soc B-Biol Sci,10.1098/rspb.2019.0022,"Kopperud, Bjørn Tore; Lidgard, Scott; Liow, Lee Hsiang",2019,286,286
Taktak,2018,PREDICAT: A semantic service-oriented platform for data interoperability and linking in earth observation and disaster prediction,2018 IEEE 11TH CONFERENCE ON SERVICE-ORIENTED COMPUTING AND APPLICATIONS (SOCA),10.1109/soca.2018.00035,"Masmoudi, Maroua; Taktak, Hela; Ben Abdallah Ben Lamine, Sana; Boukadi, khouloud; Karray, Mohamed Hedi; Baazaoui Zghal, Hajer; Archimede, Bernard; Mrissa, Michael; Guegan, Chirine Ghedira",2018,,
Ben Lamine,2018,PREDICAT: A semantic service-oriented platform for data interoperability and linking in earth observation and disaster prediction,2018 IEEE 11TH CONFERENCE ON SERVICE-ORIENTED COMPUTING AND APPLICATIONS (SOCA),10.1109/soca.2018.00035,"Masmoudi, Maroua; Taktak, Hela; Ben Abdallah Ben Lamine, Sana; Boukadi, khouloud; Karray, Mohamed Hedi; Baazaoui Zghal, Hajer; Archimede, Bernard; Mrissa, Michael; Guegan, Chirine Ghedira",2018,,
Boukadi,2018,PREDICAT: A semantic service-oriented platform for data interoperability and linking in earth observation and disaster prediction,2018 IEEE 11TH CONFERENCE ON SERVICE-ORIENTED COMPUTING AND APPLICATIONS (SOCA),10.1109/soca.2018.00035,"Masmoudi, Maroua; Taktak, Hela; Ben Abdallah Ben Lamine, Sana; Boukadi, khouloud; Karray, Mohamed Hedi; Baazaoui Zghal, Hajer; Archimede, Bernard; Mrissa, Michael; Guegan, Chirine Ghedira",2018,,
Zghal,2018,PREDICAT: A semantic service-oriented platform for data interoperability and linking in earth observation and disaster prediction,2018 IEEE 11TH CONFERENCE ON SERVICE-ORIENTED COMPUTING AND APPLICATIONS (SOCA),10.1109/soca.2018.00035,"Masmoudi, Maroua; Taktak, Hela; Ben Abdallah Ben Lamine, Sana; Boukadi, khouloud; Karray, Mohamed Hedi; Baazaoui Zghal, Hajer; Archimede, Bernard; Mrissa, Michael; Guegan, Chirine Ghedira",2018,,
Grlj,2020,Earth Observation for agricultural drought monitoring in the Pannonian Basin (southeastern Europe): current state and future directions,Reg Envir Chang,10.1007/s10113-020-01710-w,"Crocetti, Laura; Forkel, Matthias; Fischer, Milan; Jurečka, František; Grlj, Aleš; Salentinig, Andreas; Trnka, Miroslav; Anderson, Martha; Ng, Wai-Tim; Kokalj, Žiga; Bucur, Andreea; Dorigo, Wouter",2020,20,20
Bucur,2020,Earth Observation for agricultural drought monitoring in the Pannonian Basin (southeastern Europe): current state and future directions,Reg Envir Chang,10.1007/s10113-020-01710-w,"Crocetti, Laura; Forkel, Matthias; Fischer, Milan; Jurečka, František; Grlj, Aleš; Salentinig, Andreas; Trnka, Miroslav; Anderson, Martha; Ng, Wai-Tim; Kokalj, Žiga; Bucur, Andreea; Dorigo, Wouter",2020,20,20
Viavattene,kets,Artificial Neural Networks for Multiple NEA Rendezvous Missions with Continuous Thrust,J Spacecr Ro,10.2514/1.a34799,"Viavattene, Giulia; Ceriotti, Matteo",,,
Gurol,2021,Latent space data assimilation by using deep learning,Q J R Meteorol Soc,10.1002/qj.4153,"Peyron, Mathis; Fillion, Anthony; Gürol, Selime; Marchais, Victor; Gratton, Serge; Boudier, Pierre; Goret, Gael",2021,147,147
Sadeghi,2021,Detecting Ground Deformation in the Built Environment Using Sparse Satellite InSAR Data With a Convolutional Neural Network,IEEE Trans Geosci Remote Sensing,10.1109/tgrs.2020.3018315,"Anantrasirichai, Nantheera; Biggs, Juliet; Kelevitz, Krisztina; Sadeghi, Zahra; Wright, Tim; Thompson, James; Achim, Alin Marian; Bull, David",2021,59,59
Gil-Fournier,2021,Ground truth to fake geographies: machine vision and learning in visual practices,AI Soc,10.1007/s00146-020-01062-3,"Gil-Fournier, Abelardo; Parikka, Jussi",2021,36,36
Parikka,2021,Ground truth to fake geographies: machine vision and learning in visual practices,AI Soc,10.1007/s00146-020-01062-3,"Gil-Fournier, Abelardo; Parikka, Jussi",2021,36,36
Aminalragia-Giamini,2018,Artificial intelligence unfolding for space radiation monitor data,J Space Weather Space Clim,10.1051/swsc/2018041,"Aminalragia-Giamini, S.; Papadimitriou, C.; Sandberg, I.; Tsigkanos, A.; Jiggens, P.; Evans, H.; Rodgers, D.; Daglis, I. A.",2018,8,8
Silva,osci,Efficient well placement optimization under uncertainty using a virtual drilling procedure,Comput G,10.1007/s10596-021-10097-4,"Kristoffersen, Brage S.; Silva, Thiago L.; Bellout, Mathias C.; Berg, Carl Fredrik",,,
Sukhanov,2018,Open Data for Global Multimodal Land Use Classification: Outcome of the 2017 IEEE GRSS Data Fusion Contest,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2018.2799698,"Yokoya, Naoto; Ghamisi, Pedram; Xia, Junshi; Sukhanov, Sergey; Heremans, Roel; Tankoyeu, Ivan; Bechtel, Benjamin; Le Saux, Bertrand; Moser, Gabriele; Tuia, Devis",2018,11,11
Heremans,2018,Open Data for Global Multimodal Land Use Classification: Outcome of the 2017 IEEE GRSS Data Fusion Contest,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2018.2799698,"Yokoya, Naoto; Ghamisi, Pedram; Xia, Junshi; Sukhanov, Sergey; Heremans, Roel; Tankoyeu, Ivan; Bechtel, Benjamin; Le Saux, Bertrand; Moser, Gabriele; Tuia, Devis",2018,11,11
Meraner,2020,Cloud removal in Sentinel-2 imagery using a deep residual neural network and SAR-optical data fusion,ISPRS-J Photogramm Remote Sens,10.1016/j.isprsjprs.2020.05.013,"Meraner, Andrea; Ebel, Patrick; Zhu, Xiao Xiang; Schmitt, Michael",2020,166,166
Lian,2021,Large-Scale Semantic 3-D Reconstruction: Outcome of the 2019 IEEE GRSS Data Fusion Contest-Part B,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2020.3032221,"Kunwar, Saket; Chen, Hongyu; Lin, Manhui; Zhang, Hongyan; D'Angelo, Pablo; Cerra, Daniele; Azimi, Seyed Majid; Brown, Myron; Hager, Gregory; Yokoya, Naoto; Hansch, Ronny; Le Saux, Bertrand",2021,14,14
Zhou,2021,Large-Scale Semantic 3-D Reconstruction: Outcome of the 2019 IEEE GRSS Data Fusion Contest-Part B,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2020.3032221,"Kunwar, Saket; Chen, Hongyu; Lin, Manhui; Zhang, Hongyan; D'Angelo, Pablo; Cerra, Daniele; Azimi, Seyed Majid; Brown, Myron; Hager, Gregory; Yokoya, Naoto; Hansch, Ronny; Le Saux, Bertrand",2021,14,14
Jia,2021,Large-Scale Semantic 3-D Reconstruction: Outcome of the 2019 IEEE GRSS Data Fusion Contest-Part B,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2020.3032221,"Kunwar, Saket; Chen, Hongyu; Lin, Manhui; Zhang, Hongyan; D'Angelo, Pablo; Cerra, Daniele; Azimi, Seyed Majid; Brown, Myron; Hager, Gregory; Yokoya, Naoto; Hansch, Ronny; Le Saux, Bertrand",2021,14,14
Wu,2021,Large-Scale Semantic 3-D Reconstruction: Outcome of the 2019 IEEE GRSS Data Fusion Contest-Part B,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2020.3032221,"Kunwar, Saket; Chen, Hongyu; Lin, Manhui; Zhang, Hongyan; D'Angelo, Pablo; Cerra, Daniele; Azimi, Seyed Majid; Brown, Myron; Hager, Gregory; Yokoya, Naoto; Hansch, Ronny; Le Saux, Bertrand",2021,14,14
Hesse,2020,Challenges in Applying Machine Learning Models for Hydrological Inference: A Case Study for Flooding Events Across Germany,Water Resour Res,10.1029/2019wr025924,"Schmidt, Lennart; Heße, Falk; Attinger, Sabine; Kumar, Rohini",2020,56,56
Asensio Ramos,2021,Learning to do multiframe wavefront sensing unsupervised: Applications to blind deconvolution,Astron Astrophys,10.1051/0004-6361/202038552,"Asensio Ramos, A.; Olspert, N.",2021,646,646
Quynh Duy Bui,2021,"GIS-based ensemble computational models for flood susceptibility prediction in the Quang Binh Province, Vietnam",J Hydrol,10.1016/j.jhydrol.2021.126500,"Luu, Chinh; Pham, Binh Thai; Phong, Tran Van; Costache, Romulus; Nguyen, Huu Duy; Amiri, Mahdis; Bui, Quynh Duy; Nguyen, Luan Thanh; Le, Hiep Van; Prakash, Indra; Trinh, Phan Trong",2021,599,599
Wagemann,2021,Users of open Big Earth data-An analysis of the current state,Comput Geosci,10.1016/j.cageo.2021.104916,"Wagemann, Julia; Siemen, Stephan; Seeger, Bernhard; Bendix, Jörg",2021,157,157
Tsog,2020,Enabling radiation tolerant heterogeneous GPU-based onboard data processing in space,CEAS Space J,10.1007/s12567-020-00321-9,"Bruhn, Fredrik C.; Tsog, Nandinbaatar; Kunkel, Fabian; Flordal, Oskar; Troxel, Ian",2020,12,12
Kunkel,2020,Enabling radiation tolerant heterogeneous GPU-based onboard data processing in space,CEAS Space J,10.1007/s12567-020-00321-9,"Bruhn, Fredrik C.; Tsog, Nandinbaatar; Kunkel, Fabian; Flordal, Oskar; Troxel, Ian",2020,12,12
Flordal,2020,Enabling radiation tolerant heterogeneous GPU-based onboard data processing in space,CEAS Space J,10.1007/s12567-020-00321-9,"Bruhn, Fredrik C.; Tsog, Nandinbaatar; Kunkel, Fabian; Flordal, Oskar; Troxel, Ian",2020,12,12
Troxel,2020,Enabling radiation tolerant heterogeneous GPU-based onboard data processing in space,CEAS Space J,10.1007/s12567-020-00321-9,"Bruhn, Fredrik C.; Tsog, Nandinbaatar; Kunkel, Fabian; Flordal, Oskar; Troxel, Ian",2020,12,12
Zech,2021,Automatic mapping of national surface water with OpenStreetMap and Sentinel-2 MSI data using deep learning,Int J Appl Earth Obs Geoinf,10.1016/j.jag.2021.102571,"Li, Hao; Zech, Johannes; Ludwig, Christina; Fendrich, Sascha; Shapiro, Aurelie; Schultz, Michael; Zipf, Alexander",2021,104,104
Fendrich,2021,Automatic mapping of national surface water with OpenStreetMap and Sentinel-2 MSI data using deep learning,Int J Appl Earth Obs Geoinf,10.1016/j.jag.2021.102571,"Li, Hao; Zech, Johannes; Ludwig, Christina; Fendrich, Sascha; Shapiro, Aurelie; Schultz, Michael; Zipf, Alexander",2021,104,104
Pallocchia,2021,An empirical model of the Earth's bow shock based on an artificial neural network,Planet Space Sci,10.1016/j.pss.2021.105196,"Pallocchia, G.; Trenchi, L.",2021,199,199
Geanta,MICS,Horizon Scanning: Rise of Planetary Health Genomics and Digital Twins for Pandemic Preparedness,,10.1089/omi.2021.0062,"Geanta, Marius; Tanwar, Ankit Singh; Lehrach, Hans; Satyamoorthy, Kapaettu; Brand, Angela",2022,26,26
Zoumpekas,2021,An intelligent framework for end-to-end rockfall detection,Int J Intell Syst,10.1002/int.22557,"Zoumpekas, Thanasis; Puig, Anna; Salamó, Maria; Garcı́a‐Sellés, David; Blanco Nuñez, Laura; Guinau, Marta",2021,36,36
Fontanelli,2020,Remote Sensing of Forest Biomass Using GNSS Reflectometry,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2020.2982993,"Santi, Emanuele; Paloscia, Simonetta; Pettinato, Simone; Fontanelli, Giacomo; Clarizia, Maria Paola; Comite, Davide; Dente, Laura; Guerriero, Leila; Pierdicca, Nazzareno; Floury, Nicolas",2020,13,13
Clarizia,2020,Remote Sensing of Forest Biomass Using GNSS Reflectometry,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2020.2982993,"Santi, Emanuele; Paloscia, Simonetta; Pettinato, Simone; Fontanelli, Giacomo; Clarizia, Maria Paola; Comite, Davide; Dente, Laura; Guerriero, Leila; Pierdicca, Nazzareno; Floury, Nicolas",2020,13,13
Aubrun,TION,Unsupervised Learning of Robust Representations for Change Detection on Sentinel-2 Earth Observation Images,ENVIRONMENTAL SOFTWARE SYSTEMS: DATA SCIENCE IN A,10.1007/978-3-030-39815-6_1,"Aubrun, Michelle; Troya-Galvis, Andres; Albughdadi, Mohanad; Hugues, Romain; Spigai, Marc",2020,,
Troya-Galvis,TION,Unsupervised Learning of Robust Representations for Change Detection on Sentinel-2 Earth Observation Images,ENVIRONMENTAL SOFTWARE SYSTEMS: DATA SCIENCE IN A,10.1007/978-3-030-39815-6_1,"Aubrun, Michelle; Troya-Galvis, Andres; Albughdadi, Mohanad; Hugues, Romain; Spigai, Marc",2020,,
Hugues,TION,Unsupervised Learning of Robust Representations for Change Detection on Sentinel-2 Earth Observation Images,ENVIRONMENTAL SOFTWARE SYSTEMS: DATA SCIENCE IN A,10.1007/978-3-030-39815-6_1,"Aubrun, Michelle; Troya-Galvis, Andres; Albughdadi, Mohanad; Hugues, Romain; Spigai, Marc",2020,,
Spigai,TION,Unsupervised Learning of Robust Representations for Change Detection on Sentinel-2 Earth Observation Images,ENVIRONMENTAL SOFTWARE SYSTEMS: DATA SCIENCE IN A,10.1007/978-3-030-39815-6_1,"Aubrun, Michelle; Troya-Galvis, Andres; Albughdadi, Mohanad; Hugues, Romain; Spigai, Marc",2020,,
Oehmcke,2019,Detecting Hardly Visible Roads in Low-Resolution Satellite Time Series Data,2019 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),10.1109/bigdata47090.2019.9006251,"Oehmcke, Stefan; Thrysoe, Christoffer; Borgstad, Andreas; Salles, Marcos Antonio Vaz; Brandt, Martin; Gieseke, Fabian",2019,,
Salles,2019,Detecting Hardly Visible Roads in Low-Resolution Satellite Time Series Data,2019 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),10.1109/bigdata47090.2019.9006251,"Oehmcke, Stefan; Thrysoe, Christoffer; Borgstad, Andreas; Salles, Marcos Antonio Vaz; Brandt, Martin; Gieseke, Fabian",2019,,
Michel,2020,1D geological imaging of the subsurface from geophysical data with Bayesian Evidential Learning,Comput Geosci,10.1016/j.cageo.2020.104456,"Michel, Hadrien; Nguyen, Frédéric; Kremer, Thomas; Elen, Ann; Hermans, Thomas",2020,138,138
Strecker,2020,"Seismic reservoir characterization of Bentheimer sandstone, Emlichheim oil field, Lower Saxony, Germany",Interpretation,10.1190/int-2019-0308.1,"Strecker, Uwe; Hagedorn, Steffen; Zeug, Matthias; Veeken, Paul; Weist, Wulf; Weiel, Dominik; de Groot, Paul; Fuhren, Tobias; Frehers, Sven",2020,8,8
Hagedorn,2020,"Seismic reservoir characterization of Bentheimer sandstone, Emlichheim oil field, Lower Saxony, Germany",Interpretation,10.1190/int-2019-0308.1,"Strecker, Uwe; Hagedorn, Steffen; Zeug, Matthias; Veeken, Paul; Weist, Wulf; Weiel, Dominik; de Groot, Paul; Fuhren, Tobias; Frehers, Sven",2020,8,8
Zeug,2020,"Seismic reservoir characterization of Bentheimer sandstone, Emlichheim oil field, Lower Saxony, Germany",Interpretation,10.1190/int-2019-0308.1,"Strecker, Uwe; Hagedorn, Steffen; Zeug, Matthias; Veeken, Paul; Weist, Wulf; Weiel, Dominik; de Groot, Paul; Fuhren, Tobias; Frehers, Sven",2020,8,8
